Day,Date,Close/Last,Volume,Open,High,Low
0,09/17/2024,$50.61,13230270,$51.02,$51.415,$50.57
1,09/16/2024,$51.03,16668240,$49.88,$51.07,$49.78
2,09/13/2024,$49.80,10168930,$49.74,$50.055,$49.67
3,09/12/2024,$49.61,13236850,$49.09,$49.64,$48.86
4,09/11/2024,$49.11,15106550,$48.75,$49.21,$47.8501
5,09/10/2024,$48.79,11754940,$48.79,$48.97,$48.44
6,09/09/2024,$48.70,18677580,$48.47,$49.15,$48.26
7,09/06/2024,$48.50,21040500,$48.87,$49.23,$48.20
8,09/05/2024,$49.13,16311960,$49.50,$49.645,$48.935
9,09/04/2024,$49.70,16411750,$49.82,$50.04,$49.58
10,09/03/2024,$50.06,14918580,$50.31,$50.50,$49.90
11,08/30/2024,$50.54,15615760,$50.55,$50.685,$50.07
12,08/29/2024,$50.39,16324070,$49.97,$50.82,$49.88
13,08/28/2024,$49.85,14571380,$50.45,$50.57,$49.41
14,08/27/2024,$50.71,10243880,$50.67,$50.84,$50.40
15,08/26/2024,$50.79,12016800,$50.79,$51.015,$50.7242
16,08/23/2024,$50.74,16474070,$50.51,$50.77,$50.32
17,08/22/2024,$50.22,19143130,$50.715,$50.93,$50.18
18,08/21/2024,$50.45,21177600,$50.29,$50.55,$50.03
19,08/20/2024,$50.24,18697260,$49.98,$50.37,$49.595
20,08/19/2024,$49.98,16436580,$49.33,$49.99,$49.30
21,08/16/2024,$49.46,27424890,$48.64,$49.73,$48.50
22,08/15/2024,$48.53,45976380,$48.75,$50.28,$48.1615
23,08/14/2024,$45.44,30675620,$45.14,$45.74,$45.04
24,08/13/2024,$45.37,20976920,$44.98,$45.385,$44.89
25,08/12/2024,$44.86,20289550,$45.53,$45.74,$44.50
26,08/09/2024,$45.47,21217650,$45.70,$46.055,$45.24
27,08/08/2024,$45.83,18369100,$45.28,$46.265,$45.28
28,08/07/2024,$45.12,18301130,$45.42,$46.21,$45.09
29,08/06/2024,$45.16,20524010,$44.75,$45.74,$44.64
30,08/05/2024,$44.74,29669600,$46.55,$46.68,$44.6943
31,08/02/2024,$46.66,24000150,$47.68,$47.75,$46.35
32,08/01/2024,$47.39,18837520,$48.62,$48.72,$47.20
33,07/31/2024,$48.45,19953600,$48.41,$48.77,$48.24
34,07/30/2024,$48.14,20165990,$48.19,$48.55,$47.89
35,07/29/2024,$47.99,11475670,$47.82,$48.21,$47.44
36,07/26/2024,$47.88,16104860,$47.32,$48.01,$47.24
37,07/25/2024,$47.24,20631190,$47.37,$48.185,$47.06
38,07/24/2024,$46.85,25318240,$46.535,$47.035,$46.24
39,07/23/2024,$46.36,16372010,$46.745,$46.775,$46.34
40,07/22/2024,$46.82,19899390,$47.32,$47.38,$46.77
41,07/19/2024,$47.32,18289180,$48.09,$48.10,$47.14
42,07/18/2024,$48.04,18462470,$48.15,$48.64,$47.98
43,07/17/2024,$48.52,26638650,$47.46,$48.74,$47.35
44,07/16/2024,$47.42,17037330,$47.45,$47.965,$47.215
45,07/15/2024,$47.40,15925930,$47.41,$47.485,$46.785
46,07/12/2024,$47.38,20936110,$46.78,$47.855,$46.65
47,07/11/2024,$46.76,19748700,$46.175,$46.9095,$46.175
48,07/10/2024,$46.27,18737310,$46.055,$46.29,$45.83
49,07/09/2024,$45.80,17346620,$46.00,$46.10,$45.65
50,07/08/2024,$46.06,19320860,$46.35,$46.78,$45.95
51,07/05/2024,$46.65,14692600,$46.43,$46.76,$46.305
52,07/03/2024,$47.09,8118296,$47.15,$47.52,$47.04
53,07/02/2024,$47.28,19794240,$47.40,$47.79,$46.96
54,07/01/2024,$47.52,17776000,$47.48,$47.835,$47.35
55,06/28/2024,$47.51,23921060,$47.55,$47.8585,$47.34
56,06/27/2024,$47.45,16541900,$46.78,$47.51,$46.77
57,06/26/2024,$46.86,13981320,$47.06,$47.41,$46.80
